close,date,high,low,marketcap,open,volume
2.13,"Sep 08, 2018",2.44,2.10,"283,269,873",2.36,"10,560,000"
2.35,"Sep 07, 2018",2.56,2.34,"313,562,539",2.45,"11,667,300"
2.45,"Sep 06, 2018",2.48,2.19,"326,996,632",2.33,"18,095,600"
2.37,"Sep 05, 2018",3.03,2.37,"315,437,343",3.02,"18,525,900"
3.03,"Sep 04, 2018",3.18,2.89,"403,735,654",2.92,"19,157,800"
2.92,"Sep 03, 2018",3.00,2.85,"389,400,803",2.99,"14,756,800"
2.99,"Sep 02, 2018",3.14,2.92,"398,524,313",3.09,"13,813,800"
3.07,"Sep 01, 2018",3.28,3.07,"409,006,956",3.08,"17,186,400"
3.08,"Aug 31, 2018",3.23,2.96,"410,753,841",3.05,"31,594,300"
3.09,"Aug 30, 2018",3.13,2.52,"412,268,874",2.85,"40,838,300"
2.84,"Aug 29, 2018",3.23,2.83,"377,764,230",3.19,"26,403,300"
3.22,"Aug 28, 2018",3.43,3.00,"428,769,010",3.00,"44,283,100"
3.01,"Aug 27, 2018",3.52,2.87,"401,330,522",3.52,"61,099,000"
3.55,"Aug 26, 2018",3.72,2.67,"473,111,376",2.87,"97,808,500"
2.84,"Aug 25, 2018",3.01,2.29,"379,059,403",2.54,"38,404,200"
2.51,"Aug 24, 2018",2.63,1.98,"335,064,816",2.02,"37,874,200"
2.01,"Aug 23, 2018",2.02,1.81,"268,183,502",1.83,"9,798,830"
1.81,"Aug 22, 2018",2.07,1.69,"241,649,770",1.83,"13,051,600"
1.81,"Aug 21, 2018",1.83,1.60,"241,704,402",1.61,"6,422,360"
1.62,"Aug 20, 2018",1.89,1.60,"216,321,935",1.73,"10,125,700"
1.74,"Aug 19, 2018",1.78,1.47,"232,171,819",1.51,"8,779,470"
1.53,"Aug 18, 2018",1.77,1.41,"203,366,204",1.77,"10,937,300"
1.75,"Aug 17, 2018",1.95,1.36,"233,600,241",1.37,"26,302,700"
1.36,"Aug 16, 2018",1.38,1.08,"180,788,614",1.09,"5,490,960"
1.09,"Aug 15, 2018",1.27,0.971173,"145,645,710",0.971173,"7,113,750"
0.963987,"Aug 14, 2018",1.02,0.780078,"128,449,619",1.01,"4,596,500"
1.02,"Aug 13, 2018",1.19,1.00,"135,653,421",1.16,"2,829,220"
1.16,"Aug 12, 2018",1.17,1.10,"153,933,754",1.12,"2,259,580"
1.12,"Aug 11, 2018",1.20,1.06,"148,967,590",1.19,"3,208,010"
1.20,"Aug 10, 2018",1.37,1.19,"159,295,665",1.36,"3,061,930"
1.36,"Aug 09, 2018",1.38,1.24,"180,961,837",1.31,"4,092,410"
1.31,"Aug 08, 2018",1.50,1.27,"173,991,619",1.50,"4,914,090"
1.50,"Aug 07, 2018",1.66,1.50,"199,963,043",1.55,"4,048,680"
1.55,"Aug 06, 2018",1.63,1.52,"206,538,846",1.61,"3,348,580"
